№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
8,Булочка Улитка с маком,Пакеты отрывные (500шт),,,,шт,"11,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"10,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,7039",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка цитрусовая,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641214,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка цитрусовая,,,,,,
 06.08.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка цитрусовая,Тесто Сдобное п/ф,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,070","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка цитрусовая,Начинка цитрусовая,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Булочка цитрусовая,СИРОП,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1100",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ватрушка с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688710,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Ватрушка с творогом,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Ватрушка с творогом,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Ватрушка с творогом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Ватрушка с творогом,САХАРНАЯ ПУДРА,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Ватрушка с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
5,Ватрушка с творогом,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
6,Ватрушка с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Ватрушка с творогом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1248",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ватрушка фруктово-творожная,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629410,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Ватрушка фруктово-творожная,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Ватрушка фруктово-творожная,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Ватрушка фруктово-творожная,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Ватрушка фруктово-творожная,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
4,Ватрушка фруктово-творожная,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,Ватрушка фруктово-творожная,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Ватрушка фруктово-творожная,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Ватрушка фруктово-творожная,КОНФИТЮР Клубника с яблоком 13 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
8,Ватрушка фруктово-творожная,САХАРНАЯ ПУДРА,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
9,Ватрушка фруктово-творожная,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1346",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок с вишней,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630195,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок с вишней,,,,,,
 11.04.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок с вишней,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,000","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок с вишней,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
3,Пирожок с вишней,Тесто Сдобное п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050",,,,,
4,Пирожок с вишней,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Пирожок с вишней,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
6,Пирожок с вишней,Начинка вишневая для пирожков,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
7,Пирожок с вишней,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0838",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок со смородиной,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688725,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок со смородиной,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок со смородиной,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок со смородиной,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
3,Пирожок со смородиной,Тесто Сдобное п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050",,,,,
4,Пирожок со смородиной,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
5,Пирожок со смородиной,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Пирожок со смородиной,Начинка для пирожков (смородина) 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
7,Пирожок со смородиной,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0876",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок яблочный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629904,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок яблочный,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок яблочный,Тесто Сдобное п/ф,,,,кг,"0,900",,"0,900",,"  0,9000 ",,"0,900","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок яблочный,Яблоки очищенные без кожицы (Кубик/дольки) п/ф 1 кг,,,,кг,"0,450",,"0,450",,"  0,4500 ",,"0,450",,,,,
3,Пирожок яблочный,САХАР ПЕСОК,,,,кг,"0,150",,"0,150",,"  0,1500 ",,"0,150",,,,,
4,Пирожок яблочный,Штрейзельная крошка п/ф,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
5,Пирожок яблочный,Меланж (битое яйцо 10 шт),,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
6,Пирожок яблочный,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,007",,"0,030",,"  0,0300 ",,"0,030",,,,,
7,Пирожок яблочный,ЗАГУСТИТЕЛЬ - САФТИЯ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
8,Пирожок яблочный,Пакеты отрывные (500шт),,,,шт,"15,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"15,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,6652",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Плюшка московская,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688748,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Плюшка московская,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Плюшка московская,Тесто Сдобное п/ф,,,,кг,"0,165",,"0,165",,"  0,1650 ",,"0,150","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Плюшка московская,САХАР ПЕСОК,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,000",,,,,
3,Плюшка московская,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,000",,,,,
4,Плюшка московская,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Плюшка московская,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
6,Плюшка московская,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Плюшка московская,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1518",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Плюшка с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641206,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Плюшка с творогом,,,,,,
 09.04.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Плюшка с творогом,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Плюшка с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Плюшка с творогом,ИЗЮМ ЧИЩЕННЫЙ,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
4,Плюшка с творогом,Штрейзельная крошка п/ф,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
5,Плюшка с творогом,Помадка для булочек,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1250",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Рогалик со сгущенкой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630192,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Рогалик со сгущенкой,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Рогалик со сгущенкой,Тесто Сдобное п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Рогалик со сгущенкой,СГУЩЕНКА ВАРЕНАЯ,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,017",,,,,
3,Рогалик со сгущенкой,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,000",,,,,
4,Рогалик со сгущенкой,САХАРНАЯ ПУДРА,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Рогалик со сгущенкой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Рогалик со сгущенкой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0588",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Розанчик с нутеллой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641137,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Розанчик с нутеллой,,,,,,
 07.08.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Розанчик с нутеллой,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,045","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Розанчик с нутеллой,САХАРНАЯ ПУДРА,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
3,Розанчик с нутеллой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
4,Розанчик с нутеллой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Розанчик с нутеллой,НАЧИНКА ФУНДУК КАКАО,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
6,Розанчик с нутеллой,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,Розанчик с нутеллой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
8,Розанчик с нутеллой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0738",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Розанчик с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688751,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Розанчик с творогом,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Розанчик с творогом,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,045","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Розанчик с творогом,САХАРНАЯ ПУДРА,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
3,Розанчик с творогом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
4,Розанчик с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Розанчик с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
6,Розанчик с творогом,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,Розанчик с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
8,Розанчик с творогом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0838",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Синнабон,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641186,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Синнабон,,,,,,
 19.01.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Синнабон,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,570",,"0,570",,"  0,5700 ",,"0,570","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Синнабон,МОЛОКО,,,,упак,"0,222",,"0,200",,"  0,2000 ",,"0,200",,,,,
3,Синнабон,ДРОЖЖИ ПРЕССОВАННЫЕ,,,,кг,"0,025",,"0,025",,"  0,0250 ",,"0,025",,,,,
4,Синнабон,ЯЙЦО КУРИНОЕ,,,,шт,"2,000",,"0,100",,"  0,1000 ",,"0,100",,,,,
5,Синнабон,МАРГАРИН,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
6,Синнабон,САХАР ПЕСОК,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
7,Синнабон,СОЛЬ,,,,кг,"0,008",,"0,008",,"  0,0080 ",,"0,008",,,,,
8,Синнабон,САХАР ПЕСОК,,,,кг,"0,130",,"0,130",,"  0,1300 ",,"0,130",,,,,
9,Синнабон,КОРИЦА МОЛОТАЯ,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
10,Синнабон,МАРГАРИН ДЛЯ КРЕМОВ,,,,кг,"0,090",,"0,090",,"  0,0900 ",,"0,090",,,,,
11,Синнабон,КРЕМ ЧИЗ,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
12,Синнабон,МАРГАРИН ДЛЯ КРЕМОВ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
13,Синнабон,САХАРНАЯ ПУДРА,,,,кг,"0,120",,"0,120",,"  0,1200 ",,"0,120",,,,,
14,Синнабон,КОРОБКА ДЛЯ ПИРОЖНЫХ,,,,шт,"12,000",,"0,000",,  -   ,,"0,000",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"12,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,4980",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Кокрок с картофелем,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688626,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Кокрок с картофелем,,,,,,
 28.05.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Кокрок с картофелем,Тесто на кокроки п/ф,,,,кг,"0,055",,"0,055",,"  0,0550 ",,"0,045","Формовка: Тесто делить на заготовки массой 55 гр, округлить. Раскатать заготовки в круг толщиной 0.5-1 см. На одну половину теста выложить фарш картофельный 40 гр, закрыть фарш другой стороной теста, защипать, придавить  края вилкой по всей длине шва и придать форму полукруга. Тестовые заготовки укладывать на смазанный маслом плоский алюминиевый лист размеры 600х400 мм по 20 шт (5 поперек листа х 4 вдоль листа), расстояние между заготовками   1.5-2 см.
Выпечка Печь конвекционная: Перед выпечкой смазать заготовки меланжем.. Выпекать при t=200°c 15-20 мин. Убрать лист с готовой продукцией на стеллаж (шпилька).
Выпечка Печь подовая: Перед выпечкой смазать заготовки меланжем. Выпекать при t верхнего пода 200°c, нижнего пода 180°c время выпечки 15-20 мин. Убрать лист с готовой 

продукцией на стеллаж. (шпилька). 

ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Кокрок с картофелем,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Кокрок с картофелем,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Кокрок с картофелем,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,008",,"  0,0080 ",,"0,000",,,,,
